inputs,target
context : i do not eat meat. @ path_tailentity : veteran @ path : not eat _hasprerequisite die _notdesires living entity _instanceof vetteran,Most veterans in the armed forces are meat eaters because we need the protein for all the physical exertion we're doing.
context : i lost one of my parents a while ago. @ path_tailentity : connect others @ path : parent capableof know _hasprerequisite die motivatedbygoal be affected _hassubevent connect others,I know I am affected by my parents dying when I was very young.
context : i lost one of my parents a while ago. @ path_tailentity : connect others @ path : parent capableof know _hasprerequisite die _hassubevent know _motivatedbygoal connect others,I know I am affected by my parents dying when I was very young.
context : i lost one of my parents a while ago. @ path_tailentity : connect @ path : parent capableof know _hasprerequisite die hassubevent know _notcapableof connect,I know I am affected by my parents dying when I was very young.
context : i lost one of my parents a while ago. @ path_tailentity : connect @ path : parent capableof know _motivatedbygoal die hasprerequisite be affected _hassubevent connect,I know I am affected by my parents dying when I was very young.
context : i lost one of my parents a while ago. @ path_tailentity : connect @ path : parent capableof know _hasprerequisite die _haslastsubevent know _motivatedbygoal connect,I know I am affected by my parents dying when I was very young.
context : i lost one of my parents a while ago. @ path_tailentity : connect others @ path : lose _notdesires person desires know _hasprerequisite die hassubevent connect others,I know I am affected by my parents dying when I was very young.
context : i am a woman. @ path_tailentity : several child @ path : woman _instanceof am mother similarto am mother hasa several child,I'm also a woman and I'm a mother.
context : i am a woman. @ path_tailentity : child @ path : woman similarto am mother similarto am mother isa child,I'm also a woman and I'm a mother.
context : i am a woman. @ path_tailentity : several @ path : woman _instanceof am mother similarto am mother hasa several,I'm also a woman and I'm a mother.
context : i am a woman. @ path_tailentity : several child @ path : woman capableof have child hasprerequisite several child,"Me too, do you have any children?"
context : i am a woman. @ path_tailentity : child @ path : woman capableof have child _desires child,"Me too, do you have any children?"
context : i am a woman. @ path_tailentity : several @ path : woman capableof have child hasprerequisite several,"Me too, do you have any children?"
context : i enjoy sitting in front of the tv. @ path_tailentity : have kid @ path : sit tv _hasfirstsubevent watch tv hassubevent have kid,I like to watch tv with my kids.
context : i enjoy sitting in front of the tv. @ path_tailentity : kid @ path : sit tv _hasprerequisite watch tv_capableof kid,I like to watch tv with my kids.
context : i enjoy sitting in front of the tv. @ path_tailentity : have kid @ path : sit tv isa watch _hasa kid tv show hassubevent have kid,I like watching kids TV shows
context : i enjoy sitting in front of the tv. @ path_tailentity : kid @ path : sit tv _usedfor watch _instanceof kid tv show_capableof kid,I like watching kids TV shows
context : i enjoy sitting in front of the tv. @ path_tailentity : have kid @ path : tv usedfor watch _instanceof kid tv show hassubevent have kid,I like watching kids TV shows
context : i enjoy sitting in front of the tv. @ path_tailentity : have kid @ path : sit tv hassubevent relax watch isa not tend _hasprerequisite have kid,I relax watching tv when I am not tending to the kids.
context : i enjoy sitting in front of the tv. @ path_tailentity : kid @ path : sit tv hassubevent relax watch_capableof not tend_capableof kid,I relax watching tv when I am not tending to the kids.
context : i enjoy sitting in front of the tv. @ path_tailentity : have kid @ path : tv capableof relax watch isa not tend _hasprerequisite have kid,I relax watching tv when I am not tending to the kids.
context : i love my pets. @ path_tailentity : educator @ path : love pet_capableof dog trainer atlocation work _desires educator,I work as a dog trainer.
context : i love my pets. @ path_tailentity : educator @ path : pet_capableof dog trainer atlocation work _desires educator,I work as a dog trainer.
context : i love my pets. @ path_tailentity : educator @ path : love ca_usedfordesire work _atlocation dog trainer isa educator,I work as a dog trainer.
context : i love my pets. @ path_tailentity : educator @ path : love _desires dog trainer atlocation work_capableof educator,I work as a dog trainer.
context : i love my pets. @ path_tailentity : educator @ path : love pet _hasprerequisite have pet _usedfor classroom _atlocation teacher _instanceof educator,I have pets in my classroom.  I am a teacher.
